Año,Semana,Entidad,Ax_003,Valor
2014,sem09,Chiapas,H,4
2014,sem09,Chiapas,M,4
2014,sem09,Chihuahua,Sem.,1
2014,sem09,Chihuahua,H,1
2014,sem09,Chihuahua,M,11
2014,sem09,Ciudad de México,Sem.,1
2014,sem09,Ciudad de México,H,5
2014,sem09,Ciudad de México,M,5
2014,sem09,Durango,Sem.,0
2014,sem09,Durango,H,2
2014,sem09,Durango,M,3
2014,sem09,Guanajuato,Sem.,0
2014,sem09,Guanajuato,H,0
2014,sem09,Guanajuato,M,1
2014,sem09,Guerrero,Sem.,0
2014,sem09,Guerrero,H,2
2014,sem09,Guerrero,M,4
2014,sem09,Hidalgo,Sem.,0
2014,sem09,Hidalgo,H,0
2014,sem09,Hidalgo,M,0
2014,sem09,Jalisco,Sem.,0
2014,sem09,Jalisco,H,1
2014,sem09,Jalisco,M,3
2014,sem09,México,Sem.,2
2014,sem09,México,H,12
2014,sem09,México,M,14
2014,sem09,Michoacán,Sem.,2
2014,sem09,Michoacán,H,7
2014,sem09,Michoacán,M,8
2014,sem09,Morelos,Sem.,1
2014,sem09,Morelos,H,0
2014,sem09,Morelos,M,5
2014,sem09,Nayarit,Sem.,2
2014,sem09,Nayarit,H,0
2014,sem09,Nayarit,M,8
2014,sem09,Nuevo León,Sem.,5
2014,sem09,Nuevo León,H,9
2014,sem09,Nuevo León,M,17
2014,sem09,Oaxaca,Sem.,2
2014,sem09,Oaxaca,H,4
2014,sem09,Oaxaca,M,4
2014,sem09,Puebla,Sem.,0
2014,sem09,Puebla,H,0
2014,sem09,Puebla,M,0
2014,sem09,Querétaro,Sem.,0
2014,sem09,Querétaro,H,0
2014,sem09,Querétaro,M,0
2014,sem09,Quintana Roo,Sem.,1
2014,sem09,Quintana Roo,H,1
2014,sem09,Quintana Roo,M,5
2014,sem09,San Luis Potosí,Sem.,1
2014,sem09,San Luis Potosí,H,3
2014,sem09,San Luis Potosí,M,1
2014,sem09,Sinaloa,Sem.,2
2014,sem09,Sinaloa,H,8
2014,sem09,Sinaloa,M,15
2014,sem09,Sonora,Sem.,5
2014,sem09,Sonora,H,12
2014,sem09,Sonora,M,16
2014,sem09,Tabasco,Sem.,1
2014,sem09,Tabasco,H,0
2014,sem09,Tabasco,M,2
2014,sem09,Tamaulipas,Sem.,1
2014,sem09,Tamaulipas,H,6
2014,sem09,Tamaulipas,M,9
2014,sem09,Tlaxcala,Sem.,0
2014,sem09,Tlaxcala,H,0
2014,sem09,Tlaxcala,M,0
