Year,Week,Date,Entity,M,F
2019,33,2019-08-18,Aguascalientes,0,0
2019,34,2019-08-25,Aguascalientes,0,0
2019,35,2019-09-01,Aguascalientes,0,1
2019,36,2019-09-08,Aguascalientes,0,0
2019,37,2019-09-15,Aguascalientes,0,0
2019,38,2019-09-22,Aguascalientes,0,0
2019,39,2019-09-29,Aguascalientes,0,0
2019,40,2019-10-06,Aguascalientes,0,0
2019,41,2019-10-13,Aguascalientes,0,2
2019,42,2019-10-20,Aguascalientes,0,0
2019,43,2019-10-27,Aguascalientes,1,0
2019,44,2019-11-03,Aguascalientes,0,1
2019,45,2019-11-10,Aguascalientes,0,0
2019,46,2019-11-17,Aguascalientes,0,0
2019,47,2019-11-24,Aguascalientes,0,0
2019,48,2019-12-01,Aguascalientes,0,0
2019,49,2019-12-08,Aguascalientes,0,0
2019,50,2019-12-15,Aguascalientes,0,0
2019,51,2019-12-22,Aguascalientes,0,0
2019,52,2019-12-29,Aguascalientes,0,0
2020,1,2020-01-05,Aguascalientes,0,0
2020,2,2020-01-12,Aguascalientes,0,1
2020,3,2020-01-19,Aguascalientes,0,2
2020,4,2020-01-26,Aguascalientes,0,1
2020,5,2020-02-02,Aguascalientes,0,1
2020,6,2020-02-09,Aguascalientes,0,0
2020,7,2020-02-16,Aguascalientes,0,0
2020,8,2020-02-23,Aguascalientes,0,0
2020,9,2020-03-01,Aguascalientes,0,0
2020,10,2020-03-08,Aguascalientes,1,0
2020,11,2020-03-15,Aguascalientes,1,0
2020,12,2020-03-22,Aguascalientes,1,0
2020,13,2020-03-29,Aguascalientes,0,0
2020,14,2020-04-05,Aguascalientes,0,0
2020,15,2020-04-12,Aguascalientes,0,0
2020,16,2020-04-19,Aguascalientes,0,0
2020,17,2020-04-26,Aguascalientes,0,0
2020,18,2020-05-03,Aguascalientes,0,0
2020,19,2020-05-10,Aguascalientes,0,0
2020,20,2020-05-17,Aguascalientes,0,0
2020,21,2020-05-24,Aguascalientes,0,0
2020,22,2020-05-31,Aguascalientes,0,0
2020,23,2020-06-07,Aguascalientes,0,0
2020,24,2020-06-14,Aguascalientes,0,0
2020,25,2020-06-21,Aguascalientes,0,0
2020,26,2020-06-28,Aguascalientes,0,0
2020,27,2020-07-05,Aguascalientes,0,0
2020,28,2020-07-12,Aguascalientes,0,0
2020,29,2020-07-19,Aguascalientes,0,0
2020,30,2020-07-26,Aguascalientes,0,0
2020,31,2020-08-02,Aguascalientes,0,0
2020,32,2020-08-09,Aguascalientes,1,0
2020,33,2020-08-16,Aguascalientes,0,0
2020,34,2020-08-23,Aguascalientes,0,0
2020,35,2020-08-30,Aguascalientes,0,0
2020,36,2020-09-06,Aguascalientes,0,0
2020,37,2020-09-13,Aguascalientes,0,0
2020,38,2020-09-20,Aguascalientes,0,0
2020,39,2020-09-27,Aguascalientes,0,0
2020,40,2020-10-04,Aguascalientes,0,0
2020,41,2020-10-11,Aguascalientes,0,0
2020,42,2020-10-18,Aguascalientes,0,0
2020,43,2020-10-25,Aguascalientes,0,0
2020,44,2020-11-01,Aguascalientes,0,0
2020,45,2020-11-08,Aguascalientes,0,0
2020,46,2020-11-15,Aguascalientes,0,0
2020,47,2020-11-22,Aguascalientes,0,0
2020,48,2020-11-29,Aguascalientes,0,0
2020,49,2020-12-06,Aguascalientes,0,1
2020,50,2020-12-13,Aguascalientes,0,1
2020,51,2020-12-20,Aguascalientes,0,1
2020,52,2020-12-27,Aguascalientes,1,0
2020,53,2021-01-03,Aguascalientes,0,0
2021,2,2021-01-10,Aguascalientes,0,0
2021,3,2021-01-17,Aguascalientes,0,0
2021,4,2021-01-24,Aguascalientes,0,1
2021,5,2021-01-31,Aguascalientes,0,0
